customer_name,phone,amount,reason
Halima Chinelo Olawal,08057523189,"N30,050",wrong item
Yusuf Akinyeim,+2348035983575,"N178,400",wrong item
Emeka Abiodun Akinymei,09020741058,221700,wrong item
Segun Chinelo Oyelraan,8069725711,"N105,350",late delivery
Emeka Abubakar,9024625470,"N85,600",duplicate order
Ifeoma Lawl,08162237882,"N102,500",customer changed mind
Chidi Abubakar,07031776069,"N248,900",damaged on arrival
Bola Danjuma,8033664208,202050,customer changed mind
Kelechi Bello,08038908844,"N191,050",duplicate order
Emeka Akniyemi,+2348136735499,"N14,000",damaged on arrival
Nneka Abubakar,+2349079615446,81200,late delivery
Kelechi Onyek,+2348057485263,"N119,150",damaged on arrival
Femi Abubaakr,07015689027,238650,quality issue
Chidi Danjumma,9075457193,"N168,100",wrong item
Zainab Baloggun,+2348137699807,2200,quality issue
Chidi Nwachukwu,+2348068517015,"N98,000",customer changed mind
Halima Eze,+2348130004192,58400,wrong item
Amaka Ifeanyi Nwachuwku,8052524660,"N220,600",late delivery
Obinna Danjum,8064125590,"N17,300",wrong item
Emeka Akinyemi,7016209979,103150,late delivery
Yusuf Lawwal,08054474786,"N72,650",damaged on arrival
Ngozi Okafor,08136573853,158500,customer changed mind
Aisha Chinelo Danjum,08058729348,234900,late delivery
Nneka Temitope Onykea,7039875186,78950,late delivery
Chidi Danjuma,+2347037773851,92650,damaged on arrival
Ngozi Okafor,+2349070718453,9450,customer changed mind
Femi Belllo,+2348163310533,"N54,450",damaged on arrival
Halima Nkechi Onyeka,+2348066658158,68250,duplicate order
Bola Onyeka,+2349079126268,"N90,850",late delivery
Aisha Adeyemi,+2348052297236,74400,customer changed mind
Yusuf Ezenwa,08065318682,93450,damaged on arrival
Amaka Olamide Abubakr,9026009434,1250,duplicate order
Obinna Nwachukwu,+2348133551900,"N42,350",duplicate order
Kelechi Adebayo Balognu,08100214870,"N220,150",wrong item
Ngozi Chukwuemeka Eez,+2348100321429,92400,damaged on arrival
Nneka Okonwko,8167847569,"N102,250",late delivery
Tunde Akinyemmi,8130517313,"N14,750",customer changed mind
Bola Oluwaseun Ezee,+2347035150164,"N107,700",damaged on arrival
Folake Uzoma,09020843320,"N2,050",customer changed mind
Nneka Oluwaseun Uzom,08035290437,17300,quality issue
